match_id,set_number,rally_number,serving_team,receiving_team,rotation_number,serve_type,serve_result,serve_zone,pass_quality,rally_winner
5,1,1,JPN,FRA,R1,FLOAT,IN,5,3,FRA
5,1,2,FRA,JPN,R3,JUMP,IN,6,3,JPN
5,1,3,JPN,FRA,R2,JUMP,IN,6,2,FRA
5,1,4,FRA,JPN,R4,JUMP,ERROR,NA,NA,JPN
5,1,5,JPN,FRA,R3,JUMP,ERROR,NA,NA,FRA
5,1,6,FRA,JPN,R5,JUMP,ERROR,NA,NA,JPN
5,1,7,JPN,FRA,R4,JUMP,IN,6,2,FRA
5,1,8,FRA,JPN,R6,FLOAT,ERROR,NA,NA,JPN
5,1,9,JPN,FRA,R5,JUMP,IN,6,0,JPN
5,1,10,JPN,FRA,R5,HYBRID,IN,6,3,FRA
5,1,11,FRA,JPN,R1,JUMP,IN,6,2,JPN
5,1,12,JPN,FRA,R6,FLOAT,IN,5,1,FRA
5,1,13,FRA,JPN,R2,JUMP,IN,5,1,JPN
5,1,14,JPN,FRA,R1,HYBRID,IN,2,3,FRA
5,1,15,FRA,JPN,R3,JUMP,IN,6,3,JPN
5,1,16,JPN,FRA,R2,JUMP,IN,5,1,FRA
5,1,17,FRA,JPN,R4,JUMP,IN,6,3,JPN
5,1,18,JPN,FRA,R3,FLOAT,IN,6,3,JPN
5,1,19,JPN,FRA,R3,FLOAT,ERROR,NA,NA,FRA
5,1,20,FRA,JPN,R5,HYBRID,IN,5,2,JPN
5,1,21,JPN,FRA,R4,JUMP,IN,5,2,JPN
5,1,22,JPN,FRA,R4,JUMP,ERROR,NA,NA,FRA
5,1,23,FRA,JPN,R6,FLOAT,IN,6,3,FRA
5,1,24,FRA,JPN,R6,FLOAT,IN,5,2,JPN
5,1,25,JPN,FRA,R5,JUMP,IN,6,2,FRA
5,1,26,FRA,JPN,R1,JUMP,ACE,NA,NA,FRA
5,1,27,FRA,JPN,R1,JUMP,ERROR,NA,NA,JPN
5,1,28,JPN,FRA,R6,JUMP,IN,5,2,FRA
5,1,29,FRA,JPN,R2,JUMP,IN,5,3,JPN
5,1,30,JPN,FRA,R1,FLOAT,IN,5,3,FRA
5,1,31,FRA,JPN,R3,JUMP,IN,6,2,FRA
5,1,32,FRA,JPN,R3,JUMP,IN,5,2,JPN
5,1,33,JPN,FRA,R2,JUMP,ERROR,NA,NA,FRA
5,1,34,FRA,JPN,R4,JUMP,IN,5,1,JPN
5,1,35,JPN,FRA,R3,FLOAT,IN,1,3,FRA
5,1,36,FRA,JPN,R5,HYBRID,ERROR,NA,NA,JPN
5,1,37,JPN,FRA,R4,JUMP,IN,6,2,FRA
5,1,38,FRA,JPN,R6,JUMP,IN,6,1,JPN
5,1,39,JPN,FRA,R5,JUMP,IN,5,0,JPN
5,1,40,JPN,FRA,R5,JUMP,IN,6,2,FRA
5,1,41,FRA,JPN,R1,JUMP,IN,1,3,JPN
5,1,42,JPN,FRA,R6,JUMP,IN,1,3,FRA
5,1,43,FRA,JPN,R2,JUMP,IN,6,1,FRA
5,1,44,FRA,JPN,R2,JUMP,IN,6,1,FRA
5,1,45,FRA,JPN,R2,JUMP,ERROR,NA,NA,JPN
5,1,46,JPN,FRA,R1,JUMP,IN,1,1,FRA
5,1,47,FRA,JPN,R3,JUMP,IN,6,3,JPN
5,1,48,JPN,FRA,R2,JUMP,IN,6,2,FRA
5,2,1,FRA,JPN,R2,HYBRID,IN,1,3,JPN
5,2,2,JPN,FRA,R1,FLOAT,IN,5,3,FRA
5,2,3,FRA,JPN,R3,HYBRID,ERROR,NA,NA,JPN
5,2,4,JPN,FRA,R2,JUMP,IN,6,1,JPN
5,2,5,JPN,FRA,R2,JUMP,IN,5,1,FRA
5,2,6,FRA,JPN,R4,JUMP,ERROR,NA,NA,JPN
5,2,7,JPN,FRA,R3,FLOAT,IN,6,3,JPN
5,2,8,JPN,FRA,R3,FLOAT,ERROR,NA,NA,FRA
5,2,9,FRA,JPN,R5,FLOAT,IN,5,3,JPN
5,2,10,JPN,FRA,R4,JUMP,IN,1,1,JPN
5,2,11,JPN,FRA,R4,JUMP,IN,6,2,JPN
5,2,12,JPN,FRA,R4,JUMP,IN,5,1,FRA
5,2,13,FRA,JPN,R6,FLOAT,IN,6,3,JPN
5,2,14,JPN,FRA,R5,JUMP,IN,6,2,FRA
5,2,15,FRA,JPN,R1,JUMP,IN,1,1,FRA
5,2,16,FRA,JPN,R1,JUMP,ERROR,NA,NA,JPN
5,2,17,JPN,FRA,R6,FLOAT,ERROR,NA,NA,FRA
5,2,18,FRA,JPN,R2,JUMP,IN,6,2,JPN
5,2,19,JPN,FRA,R1,FLOAT,IN,5,1,JPN
5,2,20,JPN,FRA,R1,FLOAT,IN,1,3,FRA
5,2,21,FRA,JPN,R3,JUMP,ERROR,NA,NA,JPN
5,2,22,JPN,FRA,R2,JUMP,ERROR,NA,NA,FRA
5,2,23,FRA,JPN,R4,JUMP,IN,6,1,JPN
5,2,24,JPN,FRA,R3,FLOAT,IN,6,3,FRA
5,2,25,FRA,JPN,R5,JUMP,ERROR,NA,NA,JPN
5,2,26,JPN,FRA,R4,JUMP,IN,1,2,FRA
5,2,27,FRA,JPN,R6,FLOAT,ERROR,NA,NA,JPN
5,2,28,JPN,FRA,R5,JUMP,IN,6,2,FRA
5,2,29,FRA,JPN,R1,JUMP,IN,1,1,JPN
5,2,30,JPN,FRA,R6,JUMP,IN,5,0,JPN
5,2,31,JPN,FRA,R6,JUMP,IN,6,2,FRA
5,2,32,FRA,JPN,R2,JUMP,IN,6,2,JPN
5,2,33,JPN,FRA,R1,JUMP,IN,1,2,FRA
5,2,34,FRA,JPN,R3,JUMP,IN,5,2,FRA
5,2,35,FRA,JPN,R3,JUMP,IN,5,3,JPN
5,2,36,JPN,FRA,R2,JUMP,IN,5,2,JPN
5,2,37,JPN,FRA,R2,JUMP,IN,5,2,FRA
5,2,38,FRA,JPN,R4,JUMP,IN,1,0,FRA
5,2,39,FRA,JPN,R4,JUMP,IN,1,2,JPN
5,2,40,JPN,FRA,R3,JUMP,ERROR,NA,NA,FRA
5,2,41,FRA,JPN,R2,JUMP,ERROR,NA,NA,JPN
5,2,42,JPN,FRA,R4,JUMP,IN,1,1,JPN
5,2,43,JPN,FRA,R4,JUMP,IN,1,2,JPN
5,3,1,JPN,FRA,R1,FLOAT,IN,6,2,JPN
5,3,2,JPN,FRA,R1,FLOAT,IN,5,3,FRA
5,3,3,FRA,JPN,R4,JUMP,ERROR,NA,NA,JPN
5,3,4,JPN,FRA,R2,JUMP,IN,6,2,FRA
5,3,5,FRA,JPN,R5,FLOAT,IN,1,0,FRA
5,3,6,FRA,JPN,R5,FLOAT,IN,1,3,FRA
5,3,7,FRA,JPN,R5,FLOAT,IN,5,3,JPN
5,3,8,JPN,FRA,R3,FLOAT,IN,1,1,FRA
5,3,9,FRA,JPN,R6,FLOAT,IN,6,3,FRA
5,3,10,FRA,JPN,R6,FLOAT,IN,5,2,JPN
5,3,11,JPN,FRA,R4,JUMP,IN,5,3,FRA
5,3,12,FRA,JPN,R1,JUMP,ERROR,NA,NA,JPN
5,3,13,JPN,FRA,R5,JUMP,IN,1,2,FRA
5,3,14,FRA,JPN,R2,JUMP,ERROR,NA,NA,JPN
5,3,15,JPN,FRA,R6,JUMP,ERROR,NA,NA,FRA
5,3,16,FRA,JPN,R3,JUMP,ERROR,NA,NA,JPN
5,3,17,JPN,FRA,R1,FLOAT,IN,6,3,JPN
5,3,18,JPN,FRA,R1,FLOAT,IN,5,3,FRA
5,3,19,FRA,JPN,R4,JUMP,IN,6,3,JPN
5,3,20,JPN,FRA,R2,JUMP,IN,6,3,FRA
5,3,21,FRA,JPN,R5,FLOAT,IN,1,2,JPN
5,3,22,JPN,FRA,R3,FLOAT,IN,1,3,FRA
5,3,23,FRA,JPN,R6,FLOAT,IN,5,3,FRA
5,3,24,FRA,JPN,R6,FLOAT,IN,6,2,FRA
5,3,25,FRA,JPN,R6,FLOAT,IN,5,3,FRA
5,3,26,FRA,JPN,R6,FLOAT,IN,6,3,JPN
5,3,27,JPN,FRA,R4,JUMP,ERROR,NA,NA,FRA
5,3,28,FRA,JPN,R1,HYBRID,IN,6,3,JPN
5,3,29,JPN,FRA,R2,HYBRID,IN,1,3,FRA
5,3,30,FRA,JPN,R2,JUMP,IN,4,1,JPN
5,3,31,JPN,FRA,R3,FLOAT,ERROR,NA,NA,FRA
5,3,32,FRA,JPN,R3,JUMP,IN,6,2,FRA
5,3,33,FRA,JPN,R3,JUMP,IN,6,2,JPN
5,3,34,JPN,FRA,R4,JUMP,ACE,NA,NA,JPN
5,3,35,JPN,FRA,R4,JUMP,IN,5,0,JPN
5,3,36,JPN,FRA,R4,JUMP,ERROR,NA,NA,FRA
5,3,37,FRA,JPN,R4,JUMP,ACE,NA,NA,FRA
5,3,38,FRA,JPN,R4,JUMP,IN,6,2,JPN
5,3,39,JPN,FRA,R5,JUMP,IN,5,2,FRA
5,3,40,FRA,JPN,R5,FLOAT,IN,1,2,JPN
5,3,41,JPN,FRA,R6,FLOAT,IN,1,3,JPN
5,3,42,JPN,FRA,R6,FLOAT,IN,1,3,JPN
5,3,43,JPN,FRA,R6,FLOAT,IN,6,3,JPN
5,3,44,JPN,FRA,R6,FLOAT,IN,6,3,FRA
5,3,45,FRA,JPN,R6,JUMP,IN,6,1,JPN
5,3,46,JPN,FRA,R1,FLOAT,IN,5,0,JPN
5,3,47,JPN,FRA,R1,FLOAT,IN,5,3,FRA
5,3,48,FRA,JPN,R1,JUMP,IN,6,1,FRA
5,4,1,FRA,JPN,R3,JUMP,IN,6,2,JPN
5,4,2,JPN,FRA,R2,JUMP,IN,6,2,JPN
5,4,3,JPN,FRA,R2,JUMP,IN,6,1,FRA
5,4,4,FRA,JPN,R4,JUMP,IN,5,2,JPN
5,4,5,JPN,FRA,R3,FLOAT,IN,6,1,FRA
5,4,6,FRA,JPN,R5,FLOAT,IN,5,3,FRA
5,4,7,FRA,JPN,R5,FLOAT,IN,6,2,JPN
5,4,8,JPN,FRA,R4,JUMP,IN,1,2,FRA
5,4,9,FRA,JPN,R6,FLOAT,IN,5,1,JPN
5,4,10,JPN,FRA,R5,JUMP,IN,5,2,FRA
5,4,11,FRA,JPN,R1,JUMP,IN,1,2,FRA
5,4,12,FRA,JPN,R1,JUMP,ERROR,NA,NA,JPN
5,4,13,JPN,FRA,R6,JUMP,IN,5,2,FRA
5,4,14,FRA,JPN,R2,JUMP,IN,5,3,JPN
5,4,15,JPN,FRA,R1,FLOAT,IN,1,3,FRA
5,4,16,FRA,JPN,R3,JUMP,IN,5,3,JPN
5,4,17,JPN,FRA,R2,JUMP,IN,6,1,JPN
5,4,18,JPN,FRA,R2,JUMP,IN,5,2,FRA
5,4,19,FRA,JPN,R4,JUMP,IN,5,2,FRA
5,4,20,FRA,JPN,R4,JUMP,IN,5,2,JPN
5,4,21,JPN,FRA,R3,FLOAT,IN,6,2,FRA
5,4,22,FRA,JPN,R5,FLOAT,IN,5,3,JPN
5,4,23,JPN,FRA,R4,JUMP,IN,6,2,FRA
5,4,24,FRA,JPN,R6,FLOAT,IN,5,2,FRA
5,4,25,FRA,JPN,R6,FLOAT,ERROR,NA,NA,JPN
5,4,26,JPN,FRA,R5,JUMP,IN,6,3,FRA
5,4,27,FRA,JPN,R1,JUMP,IN,1,2,JPN
5,4,28,JPN,FRA,R6,JUMP,IN,5,3,FRA
5,4,29,FRA,JPN,R2,HYBRID,IN,1,2,JPN
5,4,30,JPN,FRA,R1,FLOAT,IN,6,3,JPN
5,4,31,JPN,FRA,R1,FLOAT,IN,1,3,FRA
5,4,32,FRA,JPN,R3,JUMP,IN,5,1,FRA
5,4,33,FRA,JPN,R3,JUMP,IN,1,2,JPN
5,4,34,JPN,FRA,R2,JUMP,IN,5,2,FRA
5,4,35,FRA,JPN,R4,JUMP,IN,6,1,JPN
5,4,36,JPN,FRA,R3,JUMP,IN,6,2,JPN
5,4,37,JPN,FRA,R3,JUMP,ERROR,NA,NA,FRA
5,4,38,FRA,JPN,R5,FLOAT,IN,5,1,JPN
5,4,39,JPN,FRA,R4,JUMP,ACE,NA,NA,JPN
5,4,40,JPN,FRA,R4,JUMP,ERROR,NA,NA,FRA
5,4,41,FRA,JPN,R6,HYBRID,IN,1,1,JPN
5,4,42,JPN,FRA,R5,JUMP,IN,5,2,FRA
5,4,43,FRA,JPN,R1,JUMP,IN,6,1,JPN
5,4,44,JPN,FRA,R6,JUMP,IN,6,1,FRA
5,4,45,FRA,JPN,R2,JUMP,ERROR,NA,NA,JPN
5,4,46,JPN,FRA,R1,FLOAT,IN,1,1,FRA
5,4,47,FRA,JPN,R3,JUMP,IN,6,2,FRA
5,4,48,FRA,JPN,R3,JUMP,IN,6,1,FRA